Country_ISO3,Year,Area_Harvest_Ha,Production_Ton,Production_Kg_Ha,Crop_Type,Country_Name,GDP_Per_Capita,Temperature,Precipitation,Crop_Dominance
BRA,2000,2267968.0,1903562.0,839.3,Coffee,Brazil,3766.54786339835,25.12,1955.68,coffee only
BRA,2001,2336031.0,1819569.0,778.9,Coffee,Brazil,3176.28975052524,25.4,1773.52,coffee only
BRA,2002,2370891.0,2610524.0,1101.1,Coffee,Brazil,2855.94017137049,25.67,1810.1,coffee only
BRA,2003,2395501.0,1987074.0,829.5,Coffee,Brazil,3090.6068907839,25.45,1741.13,coffee only
BRA,2004,2368040.0,2465710.0,1041.2,Coffee,Brazil,3663.82262497811,25.38,1830.7,coffee only
BRA,2005,2325920.0,2140169.0,920.1,Coffee,Brazil,4827.78165890291,25.63,1834.38,coffee only
BRA,2006,2312157.0,2573368.0,1113.0,Coffee,Brazil,5934.14561857454,25.45,1874.41,coffee only
BRA,2007,2264129.0,2249011.0,993.3,Coffee,Brazil,7409.69003822861,25.57,1754.49,coffee only
BRA,2008,2222224.0,2796927.0,1258.6,Coffee,Brazil,8908.33338467948,25.28,1917.91,coffee only
BRA,2009,2135508.0,2440056.0,1142.6,Coffee,Brazil,8678.6584730653,25.49,1957.9,coffee only
BRA,2010,2159785.0,2907265.0,1346.1,Coffee,Brazil,11403.2840038694,25.7,1771.11,coffee only
BRA,2011,2148775.0,2700540.0,1256.8,Coffee,Brazil,13396.6263158041,25.4,1883.53,coffee only
BRA,2012,2120080.0,3037534.0,1432.7,Coffee,Brazil,12521.7238454434,25.6,1667.72,coffee only
BRA,2013,2085522.0,2964538.0,1421.5,Coffee,Brazil,12458.8903396625,25.53,1837.39,coffee only
BRA,2014,1997827.0,2804070.0,1403.6,Coffee,Brazil,12274.9941630213,25.7,1748.77,coffee only
BRA,2015,1977714.0,2647504.0,1338.7,Coffee,Brazil,8936.1955889444,25.99,1582.52,coffee only
BRA,2016,1996604.0,3024466.0,1514.8,Coffee,Brazil,8836.28546025694,25.78,1614.47,coffee only
BRA,2017,1802417.0,2684508.0,1489.4,Coffee,Brazil,10080.5078722821,25.74,1654.32,coffee only
BRA,2018,1863966.0,3552729.0,1906.0,Coffee,Brazil,9300.66072904004,25.57,1793.4,coffee only
BRA,2019,1825283.0,3011745.0,1650.0,Coffee,Brazil,9029.83304401079,25.9,1686.49,coffee only
BRA,2020,1898429.0,3705719.0,1952.0,Coffee,Brazil,7074.19407495707,25.85,1724.36,coffee only
BRA,2021,1832508.0,2985581.0,1629.2,Coffee,Brazil,7972.53696080695,25.53,1781.16,coffee only
BRA,2022,1867392.0,3179341.0,1702.6,Coffee,Brazil,9281.33282136864,25.47,1710.51,coffee only
BRA,2023,1905239.0,3348510.0,1757.5,Coffee,Brazil,10377.5897719195,25.92,1588.1,coffee only
BRA,2024,1943977.0,3387724.0,1742.7,Coffee,,,26.02,1676.33,coffee only
CIV,2000,829319.0,380000.0,458.2,Coffee,Côte d'Ivoire,936.636541348798,26.62,1288.17,coffee only
CIV,2001,602075.0,301127.0,500.1,Coffee,Côte d'Ivoire,924.727294962066,26.69,1397.68,coffee only
CIV,2002,455090.0,182001.0,399.9,Coffee,Côte d'Ivoire,967.815864415991,26.87,1288.97,coffee only
CIV,2003,410472.0,140027.0,341.1,Coffee,Côte d'Ivoire,1111.17135087887,26.87,1406.32,coffee only
CIV,2004,740000.0,154081.0,208.2,Coffee,Côte d'Ivoire,1199.82524528546,26.86,1304.23,coffee only
CIV,2005,718750.0,230000.0,320.0,Coffee,Côte d'Ivoire,1197.74616979415,27.05,1260.02,coffee only
CIV,2006,747500.0,187000.0,250.2,Coffee,Côte d'Ivoire,1230.43056838584,26.8,1376.0,coffee only
CIV,2007,777400.0,170849.0,219.8,Coffee,Côte d'Ivoire,1367.53817722326,26.89,1258.91,coffee only
CIV,2008,650000.0,173118.0,266.3,Coffee,Côte d'Ivoire,1583.97066701372,26.57,1322.9,coffee only
CIV,2009,623354.0,142945.0,229.3,Coffee,Côte d'Ivoire,1540.45393569596,26.88,1357.96,coffee only
CIV,2010,441066.0,94372.0,214.0,Coffee,Côte d'Ivoire,1553.54887048143,27.18,1575.21,coffee only
CIV,2011,163206.0,32291.0,197.9,Coffee,Côte d'Ivoire,1596.62826565998,26.9,1342.14,coffee only
CIV,2012,732998.0,121426.0,165.7,Coffee,Côte d'Ivoire,1546.9460184731,26.6,1235.09,coffee only
CIV,2013,689759.0,103743.0,150.4,Coffee,Côte d'Ivoire,1786.15862031324,26.83,1166.54,coffee only
CIV,2014,766335.0,109913.47,143.4,Coffee,Côte d'Ivoire,1991.36539423404,26.9,1449.73,coffee only
CIV,2015,954793.0,127000.0,133.0,Coffee,Côte d'Ivoire,1814.71855088017,27.03,1126.3,coffee only
CIV,2016,830166.0,106000.0,127.7,Coffee,Côte d'Ivoire,1862.59597081287,27.31,1253.82,coffee only
CIV,2017,275011.0,33600.0,122.2,Coffee,Côte d'Ivoire,1964.29930338343,27.17,1145.19,coffee only
CIV,2018,1090375.0,123900.0,113.6,Coffee,Côte d'Ivoire,2130.86619381144,27.08,1456.14,coffee only
CIV,2019,769224.0,95204.0,123.8,Coffee,Côte d'Ivoire,2141.76836170115,26.94,1427.39,coffee only
CIV,2020,620709.0,82366.0,132.7,Coffee,Côte d'Ivoire,2179.72934832935,27.21,1323.07,coffee only
CIV,2021,444383.0,61312.0,138.0,Coffee,Côte d'Ivoire,2455.98127641148,27.37,1364.36,coffee only
CIV,2022,539000.0,89878.0,166.7,Coffee,Côte d'Ivoire,2333.37128301259,26.81,1399.99,coffee only
CIV,2023,332249.0,46975.0,141.4,Coffee,Côte d'Ivoire,2591.9659048119,27.32,1283.01,coffee only
CIV,2024,599673.0,72133.0,120.3,Coffee,,,27.38,1238.89,coffee only
COL,2000,675342.0,637140.0,943.4,Coffee,Colombia,2555.00751039968,24.55,2713.15,coffee only
COL,2001,704846.0,656160.0,930.9,Coffee,Colombia,2472.99084035833,24.94,2400.27,coffee only
COL,2002,710510.0,696840.0,980.8,Coffee,Colombia,2428.92969771584,25.08,2713.88,coffee only
COL,2003,721362.0,694080.0,962.2,Coffee,Colombia,2311.94218760291,25.14,2641.11,coffee only
COL,2004,771219.0,674400.0,874.5,Coffee,Colombia,2818.57195413044,24.92,2614.35,coffee only
COL,2005,806884.0,667140.0,826.8,Coffee,Colombia,3456.06610874512,25.03,2694.63,coffee only
COL,2006,785535.0,724740.0,922.6,Coffee,Colombia,3789.85361217027,24.9,2728.14,coffee only
COL,2007,797660.0,757080.0,949.1,Coffee,Colombia,4769.926147194,24.84,2803.51,coffee only
COL,2008,732656.0,688680.0,940.0,Coffee,Colombia,5541.83629665898,24.55,3004.62,coffee only
COL,2009,765345.0,468720.0,612.4,Coffee,Colombia,5250.97292433518,25.09,2425.83,coffee only
COL,2010,778052.0,535380.0,688.1,Coffee,Colombia,6398.2958447102,25.25,2921.88,coffee only
COL,2011,723921.0,468540.0,647.2,Coffee,Colombia,7400.9940695669,24.91,3083.66,coffee only
COL,2012,696023.0,462000.0,663.8,Coffee,Colombia,8108.59838244229,25.12,2406.02,coffee only
COL,2013,771725.0,653160.0,846.4,Coffee,Colombia,8279.10255642981,25.31,2433.05,coffee only
COL,2014,795563.0,728400.0,915.6,Coffee,Colombia,8187.20824890084,25.45,2365.71,coffee only
COL,2015,801118.0,827750.0,1033.2,Coffee,Colombia,6248.51490534512,25.74,2085.08,coffee only
COL,2016,778362.0,818243.0,1051.2,Coffee,Colombia,5959.84250367574,25.66,2395.85,coffee only
COL,2017,903950.0,851640.0,942.1,Coffee,Colombia,6479.53231292429,25.1,2638.84,coffee only
COL,2018,877140.0,813420.0,927.4,Coffee,Colombia,6816.96818309544,25.03,2501.32,coffee only
COL,2019,853698.0,885120.0,1036.8,Coffee,Colombia,6472.54544924705,25.35,2424.97,coffee only
COL,2020,844744.0,833400.0,986.6,Coffee,Colombia,5339.68711357943,25.28,2493.24,coffee only
COL,2021,840112.0,560340.0,667.0,Coffee,Colombia,6222.62164397614,24.9,2693.61,coffee only
COL,2022,842399.0,665015.95,789.4,Coffee,Colombia,6680.44506854481,24.7,2855.97,coffee only
COL,2023,841354.0,680857.67,809.2,Coffee,Colombia,7000.83660501046,25.32,2468.03,coffee only
COL,2024,837685.0,839846.69,1002.6,Coffee,,,25.58,2561.26,coffee only
CRI,2000,106000.0,161395.0,1522.6,Coffee,Costa Rica,3812.75388284924,24.42,2659.01,coffee only
CRI,2001,113130.0,150289.0,1328.5,Coffee,Costa Rica,3985.12984506207,24.82,2704.98,coffee only
CRI,2002,113387.0,140874.0,1242.4,Coffee,Costa Rica,4067.71851429092,24.95,3088.1,coffee only
CRI,2003,113387.0,132259.0,1166.4,Coffee,Costa Rica,4173.14856415514,25.03,3287.9,coffee only
CRI,2004,98681.0,126000.0,1276.8,Coffee,Costa Rica,4431.0117207843,24.84,3161.74,coffee only
CRI,2005,98681.0,125669.0,1273.5,Coffee,Costa Rica,4703.00721784778,24.74,3041.44,coffee only
CRI,2006,98681.0,101038.0,1023.9,Coffee,Costa Rica,5256.59640859159,24.91,2908.4,coffee only
CRI,2007,98681.0,121058.0,1226.8,Coffee,Costa Rica,6137.71199925542,24.69,3111.38,coffee only
CRI,2008,98681.0,111959.0,1134.6,Coffee,Costa Rica,6937.24261596055,24.68,3594.92,coffee only
CRI,2009,98681.0,91403.0,926.2,Coffee,Costa Rica,6832.69829924138,25.11,2739.31,coffee only
CRI,2010,98681.0,91620.0,928.4,Coffee,Costa Rica,8265.78820275582,24.89,3524.36,coffee only
CRI,2011,98681.0,95038.0,963.1,Coffee,Costa Rica,9276.39107511347,24.75,2996.34,coffee only
CRI,2012,93774.0,117873.0,1257.0,Coffee,Costa Rica,10126.9991024177,24.73,2188.0,coffee only
CRI,2013,93774.0,71381.0,761.2,Coffee,Costa Rica,10803.2401962173,24.85,2406.59,coffee only
CRI,2014,84133.0,96735.0,1149.8,Coffee,Costa Rica,10911.497878334,25.02,2853.3,coffee only
CRI,2015,84133.0,83846.0,996.6,Coffee,Costa Rica,11714.7105980732,25.06,2715.65,coffee only
CRI,2016,84133.0,93720.0,1114.0,Coffee,Costa Rica,12091.0301606154,24.96,2606.99,coffee only
CRI,2017,93697.0,90419.0,965.0,Coffee,Costa Rica,12317.0902771304,24.85,2668.67,coffee only
CRI,2018,93697.0,92016.0,982.1,Coffee,Costa Rica,12590.2493781614,24.45,3489.39,coffee only
CRI,2019,93697.0,76385.0,815.2,Coffee,Costa Rica,12884.6859951989,24.74,3268.85,coffee only
CRI,2020,93697.0,86791.0,926.3,Coffee,Costa Rica,12394.0493969492,24.89,3261.62,coffee only
CRI,2021,93697.0,95322.0,1017.3,Coffee,Costa Rica,12838.1185358931,24.72,3106.96,coffee only
CRI,2022,82539.0,74620.26,904.1,Coffee,Costa Rica,13625.9008491328,24.59,2801.92,coffee only
CRI,2023,82539.0,80270.33,972.5,Coffee,Costa Rica,16942.0268119375,25.41,2445.16,coffee only
CRI,2024,82539.0,62153.98,753.0,Coffee,,,25.21,3299.72,coffee only
ETH,2000,250000.0,229980.0,919.9,Coffee,Ethiopia,122.269202606069,23.22,857.49,coffee only
ETH,2001,243834.0,157155.0,644.5,Coffee,Ethiopia,118.457204255261,23.33,814.13,coffee only
ETH,2002,218000.0,160000.0,733.9,Coffee,Ethiopia,109.593813612988,23.7,736.91,coffee only
ETH,2003,232439.0,126188.0,542.9,Coffee,Ethiopia,116.800491132777,23.46,781.87,coffee only
ETH,2004,260201.0,156170.0,600.2,Coffee,Ethiopia,133.169812538096,23.46,821.35,coffee only
ETH,2005,261175.0,171631.0,657.1,Coffee,Ethiopia,158.243458082465,23.53,857.95,coffee only
ETH,2006,295238.0,241482.0,817.9,Coffee,Ethiopia,189.345737521418,23.44,875.58,coffee only
ETH,2007,407147.0,273400.0,671.5,Coffee,Ethiopia,237.146255996319,23.31,853.83,coffee only
ETH,2008,391296.0,260239.0,665.1,Coffee,Ethiopia,316.410475118075,23.27,852.93,coffee only
ETH,2009,395003.0,265469.0,672.1,Coffee,Ethiopia,368.574712267445,23.92,774.65,coffee only
ETH,2010,498618.0,370569.0,743.2,Coffee,Ethiopia,330.619412798644,23.69,858.67,coffee only
ETH,2011,580440.0,442270.0,762.0,Coffee,Ethiopia,343.024942351887,23.47,846.8,coffee only
ETH,2012,600530.0,449740.0,748.9,Coffee,Ethiopia,452.101031885754,23.41,879.96,coffee only
ETH,2013,538466.0,392006.0,728.0,Coffee,Ethiopia,484.039833104062,23.73,896.71,coffee only
ETH,2014,626820.0,467860.0,746.4,Coffee,Ethiopia,549.986577082588,23.5,920.92,coffee only
ETH,2015,653940.0,501240.0,766.5,Coffee,Ethiopia,597.912113218663,23.92,838.29,coffee only
ETH,2016,761209.0,494819.0,650.0,Coffee,Ethiopia,641.651523286233,23.93,916.86,coffee only
ETH,2017,808022.0,549531.0,680.1,Coffee,Ethiopia,696.348429076216,23.62,916.26,coffee only
ETH,2018,871707.0,573986.0,658.5,Coffee,Ethiopia,739.702022272086,23.32,904.61,coffee only
ETH,2019,871380.0,573580.0,658.2,Coffee,Ethiopia,793.473247210264,23.41,1000.55,coffee only
ETH,2020,856592.0,584789.57,682.7,Coffee,Ethiopia,829.790982547947,23.3,941.61,coffee only
ETH,2021,912170.0,590400.0,647.2,Coffee,Ethiopia,893.00983544905,23.41,923.15,coffee only
ETH,2022,794404.0,545566.36,686.8,Coffee,Ethiopia,982.103161506992,23.48,927.69,coffee only
ETH,2023,843635.0,559400.0,663.1,Coffee,Ethiopia,1055.81091592527,23.75,910.78,coffee only
ETH,2024,862943.0,575696.18,667.1,Coffee,,,24.17,985.89,coffee only
GIN,2000,53065.0,22080.0,416.1,Coffee,Guinea,518.157066924026,25.53,1798.82,coffee only
GIN,2001,40000.0,14160.0,354.0,Coffee,Guinea,483.085120214741,25.79,1686.61,coffee only
GIN,2002,50000.0,19680.0,393.6,Coffee,Guinea,495.916073559269,26.13,1614.36,coffee only
GIN,2003,50340.0,20880.0,414.8,Coffee,Guinea,566.48540588068,25.93,1876.71,coffee only
GIN,2004,48802.0,20220.0,414.3,Coffee,Guinea,584.897740538081,26.09,1820.48,coffee only
GIN,2005,52000.0,20770.0,399.4,Coffee,Guinea,463.17768685098,26.13,1793.17,coffee only
GIN,2006,50000.0,23226.0,464.5,Coffee,Guinea,446.980554135013,25.85,1926.74,coffee only
GIN,2007,53000.0,26556.0,501.1,Coffee,Guinea,650.148575304743,25.99,1634.94,coffee only
GIN,2008,65000.0,27353.0,420.8,Coffee,Guinea,703.532825784369,25.77,1820.61,coffee only
GIN,2009,63000.0,28173.0,447.2,Coffee,Guinea,662.185914665575,25.87,1739.39,coffee only
GIN,2010,65690.0,29018.0,441.7,Coffee,Guinea,659.235326211315,26.24,2018.47,coffee only
GIN,2011,68631.0,30320.0,441.8,Coffee,Guinea,636.694958747648,26.01,1724.73,coffee only
GIN,2012,39904.0,17907.0,448.8,Coffee,Guinea,699.353377212197,25.65,1821.97,coffee only
GIN,2013,40962.0,18440.0,450.2,Coffee,Guinea,748.455020824734,25.92,1842.54,coffee only
GIN,2014,94300.0,41500.0,440.1,Coffee,Guinea,765.146999389279,25.89,1731.41,coffee only
GIN,2015,490000.0,210866.0,430.3,Coffee,Guinea,747.356966759448,26.08,1880.49,coffee only
GIN,2016,508000.0,218635.0,430.4,Coffee,Guinea,711.996509782316,26.31,1792.34,coffee only
GIN,2017,504000.0,216691.0,429.9,Coffee,Guinea,833.598621691121,26.23,1690.89,coffee only
GIN,2018,547000.0,235043.0,429.7,Coffee,Guinea,933.273615633705,26.16,1775.11,coffee only
GIN,2019,567000.0,243703.0,429.8,Coffee,Guinea,1031.34146480732,25.88,1798.76,coffee only
GIN,2020,574753.0,242682.0,422.2,Coffee,Guinea,1053.66097696415,26.33,1765.56,coffee only
GIN,2021,640026.0,261992.0,409.3,Coffee,Guinea,1244.96550477914,26.69,1800.67,coffee only
GIN,2022,651076.0,261645.0,401.9,Coffee,Guinea,1416.59612011764,25.96,2012.36,coffee only
GIN,2023,504133.0,200000.0,396.7,Coffee,Guinea,1555.49375806861,26.59,1892.39,coffee only
GIN,2024,445086.0,174847.18,392.8,Coffee,,,26.6,1881.48,coffee only
GTM,2000,273000.0,312060.0,1143.1,Coffee,Guatemala,1648.96578971559,23.3,2143.44,coffee only
GTM,2001,262296.0,261096.84,995.4,Coffee,Guatemala,1537.68663578252,23.56,2186.08,coffee only
GTM,2002,262016.0,255091.28,973.6,Coffee,Guatemala,1669.33517469705,23.7,2071.64,coffee only
GTM,2003,247339.0,244200.0,987.3,Coffee,Guatemala,1722.54701910774,23.81,1870.93,coffee only
GTM,2004,247339.0,250279.0,1011.9,Coffee,Guatemala,1840.91184884,23.73,2048.5,coffee only
GTM,2005,247339.0,248277.0,1003.8,Coffee,Guatemala,2046.46611650758,23.7,2360.73,coffee only
GTM,2006,247339.0,240331.38,971.7,Coffee,Guatemala,2225.1234753878,23.64,2388.64,coffee only
GTM,2007,248597.0,248613.98,1000.1,Coffee,Guatemala,2458.81573919384,23.58,2103.8,coffee only
GTM,2008,248597.0,254914.38,1025.4,Coffee,Guatemala,2763.05988172926,23.55,2283.09,coffee only
GTM,2009,248807.0,247502.68,994.8,Coffee,Guatemala,2611.64632773352,23.92,1957.44,coffee only
GTM,2010,249925.0,248355.43,993.7,Coffee,Guatemala,2805.25960237322,23.34,2478.21,coffee only
GTM,2011,254817.0,265401.43,1041.5,Coffee,Guatemala,3168.98370607705,23.73,2431.96,coffee only
GTM,2012,254328.0,272432.0,1071.2,Coffee,Guatemala,3286.61959336267,23.85,1970.79,coffee only
GTM,2013,250624.0,248668.0,992.2,Coffee,Guatemala,3444.15802275864,23.7,2672.54,coffee only
GTM,2014,262435.0,227653.47,867.5,Coffee,Guatemala,3689.14510410202,23.67,2187.79,coffee only
GTM,2015,269424.0,225653.13,837.5,Coffee,Guatemala,3893.50533299068,24.16,1969.27,coffee only
GTM,2016,274177.0,236144.72,861.3,Coffee,Guatemala,4060.13784737643,24.23,2069.5,coffee only
GTM,2017,257619.0,224000.0,869.5,Coffee,Guatemala,4324.99768915601,24.05,2085.72,coffee only
GTM,2018,279446.0,240400.0,860.3,Coffee,Guatemala,4352.94593289707,23.53,1986.75,coffee only
GTM,2019,260649.0,216400.0,830.2,Coffee,Guatemala,4511.99839552697,24.0,1773.91,coffee only
GTM,2020,320736.0,246000.0,767.0,Coffee,Guatemala,4477.61785000665,24.32,2277.6,coffee only
GTM,2021,319883.0,226700.0,708.7,Coffee,Guatemala,4912.62240414681,24.07,2034.68,coffee only
GTM,2022,376019.0,238354.0,633.9,Coffee,Guatemala,5358.70156997677,23.74,2452.33,coffee only
GTM,2023,376019.0,212848.0,566.1,Coffee,Guatemala,5758.32760847852,24.38,1969.94,coffee only
GTM,2024,376019.0,224860.0,598.0,Coffee,,,24.58,2512.08,coffee only
HND,2000,210769.0,193309.0,917.2,Coffee,Honduras,1092.56400746252,24.32,1822.44,coffee only
HND,2001,216562.0,205545.0,949.1,Coffee,Honduras,1132.1648753329,24.66,1828.29,coffee only
HND,2002,204490.0,172727.0,844.7,Coffee,Honduras,1132.49965345317,24.81,1688.56,coffee only
HND,2003,228438.0,175284.0,767.3,Coffee,Honduras,1156.08162681357,24.91,1729.79,coffee only
HND,2004,236376.0,185090.0,783.0,Coffee,Honduras,1215.13995412761,24.74,1848.7,coffee only
